Country,Land area,2020,forest_2020_pct,2010,forest_2010_pct,2000,forest_2000_pct,1990,forest_1990_pct
,,Total,% Cover,Total,% Cover,Total,% Cover,Total,% Cover
Trinidad and Tobago,512.8,228,44.46,232,45.24,237,46.22,242,47.19
Tunisia,15536,703,4.52,687,4.42,668,4.3,644,4.15
Turkey,76963.2,22220,28.87,21083,27.39,20148,26.18,19783,25.7
Turkmenistan,46993,4127,8.78,4127,8.78,4127,8.78,4127,8.78
Turks and Caicos Islands,94.8,11,11.6,11,11.6,11,11.6,11,11.6
Tuvalu,2.6,1,38.46,1,38.46,1,38.46,1,38.46
Uganda,19710,2338,11.86,2750,13.95,3163,16.05,3575,18.14
Ukraine,57930,9690,16.73,9548,16.48,9510,16.42,9274,16.01
United Arab Emirates,8360,317,3.79,317,3.79,309,3.7,245,2.93
United Kingdom,24193,3190,13.19,3059,12.64,2954,12.21,2778,11.48
United States,914759.3,309795,33.87,308720,33.75,303536,33.18,302450,33.06
United States Virgin Islands,34.7,20,57.64,18,51.87,20,57.64,25,72.05
Uruguay,17501.5,2031,11.6,1731,9.89,1369,7.82,798,4.56
Uzbekistan,42540,3690,8.67,3350,7.87,2961,6.96,2549,5.99
Vanuatu,1218.9,442,36.26,442,36.26,442,36.26,442,36.26
Venezuela,88205,46231,52.41,47505,53.86,49151,55.72,52026,58.98
Vietnam,31007,14643,47.22,13388,43.18,11784,38,9376,30.24
Wallis and Futuna Islands,14.2,6,42.25,6,42.25,6,42.25,6,42.25
Western Sahara,26600,665,2.5,665,2.5,669,2.52,665,2.5
Yemen,55500,549,0.99,549,0.99,549,0.99,549,0.99
Zambia,74339.8,44814,60.28,46696,62.81,47054,63.3,47412,63.78
Zimbabwe,38684.7,17445,45.1,17905,46.28,18366,47.48,18827,48.67
